Analisi su 129 galassie SPARC di buona qualità

==========================================================================================
RISULTATI CST SU 129 GALASSIE SPARC — 2931 PUNTI DATI
==========================================================================================

  RMSE globale CST (bar+CST★+vortice) = 18.44 km/s
  RMSE globale solo barioni            = 61.93 km/s
  MIGLIORAMENTO GLOBALE: 3.36x

─────────────────────────────────────────────────────────────────────────────────────
    Galassia Tipo    Vf   N │    vm    rc │ RMSE_C RMSE_B   Imp
     NGC0024   Sc   106  29 │   129   4.3 │   11.5   47.2   4.1x
     NGC0247   Sd   105  26 │    78   6.3 │   14.2   44.3   3.1x
    UGC01230   Sm   104  11 │   123  12.7 │   15.1   53.5   3.5x
    UGC07399  Sdm   103  10 │    96   3.4 │    9.0   58.9   6.5x
    UGC05005   Im    99  11 │    90  17.9 │    2.5   39.7  16.1x
      F574-1   Sd    98  14 │    90   7.2 │    4.7   48.5  10.3x
     NGC0300   Sd    93  25 │    88   7.2 │    6.5   46.5   7.1x
    UGC04278   Sd    91  25 │    82   7.3 │    3.3   36.1  10.8x
    UGC04325   Sm    91   8 │    85   2.9 │    5.5   46.2   8.5x
     NGC5585   Sd    90  24 │    79   7.5 │    2.6   31.7  12.4x
     NGC0100  Scd    88  21 │    77   7.4 │    2.5   37.3  15.2x
    UGC02259  Sdm    86   8 │    80   4.4 │   10.4   48.1   4.6x
      F583-1   Sm    86  25 │    82   8.1 │    4.6   37.9   8.2x
     NGC0055   Sm    86  21 │    70  10.4 │    1.3   30.1  24.1x
     NGC2976   Sc    85  27 │    66   3.5 │    1.9   14.3   7.5x
    UGC06399   Sm    85   9 │    75   5.8 │    2.1   38.7  18.4x
    UGC06667  Scd    84   9 │    80   5.2 │    3.2   48.8  15.2x
     F571-V1   Sd    84   7 │    75   9.8 │    2.3   39.8  17.1x
     NGC2915  BCD    84  30 │    85   5.5 │    9.4   53.4   5.7x
    UGC08286  Scd    82  17 │    79   4.5 │    7.5   44.7   6.0x
    UGC06446   Sd    82  17 │    76   4.8 │    8.2   43.4   5.3x
     NGC4214   Im    80  14 │    77   3.2 │    9.4   43.6   4.7x
    UGC05721   Sd    80  23 │    85   2.9 │    7.7   43.4   5.6x
    UGC06923   Im    80   6 │    63   4.7 │    3.2   25.9   8.1x
    UGC07524   Sm    80  31 │    68   6.4 │    3.0   34.3  11.3x
    UGC08490   Sm    79  30 │    80   4.9 │    8.7   44.9   5.1x
    UGC07261  Sdm    75   7 │    65   3.9 │    6.6   33.1   5.0x
    UGC07151  Scd    74  11 │    58   3.1 │    3.7   27.2   7.3x
    UGC00731   Im    73  12 │    67   5.3 │    6.1   38.2   6.3x
    UGC05716   Sm    73  12 │    68   7.0 │    6.7   38.6   5.8x
    UGC04499  Sdm    73   9 │    60   5.6 │    2.5   28.7  11.5x
    UGC12632   Sm    72  15 │    65   6.0 │    4.1   34.6   8.4x
    UGC10310   Sm    71   7 │    62   4.3 │    3.0   31.3  10.3x
    UGC06818   Sm    71   8 │   126  18.7 │    5.1   27.1   5.3x
      IC2574   Sm    66  34 │    60  12.5 │    2.3   23.8  10.5x
      DDO161   Im    66  31 │    57  11.8 │    1.1   23.3  20.7x
     NGC3109   Sm    66  25 │    61   5.7 │    1.3   32.1  24.0x
    UGC07125   Sm    65  13 │    48   9.9 │    2.4   21.2   8.9x
    UGC07603   Sd    62  12 │    58   2.8 │    2.1   31.5  15.1x
      DDO170   Im    60   8 │    53   8.4 │    3.1   27.3   8.8x
      D631-7   Im    58  16 │    62   8.6 │    2.3   26.3  11.3x
    UGC07690   Im    57   7 │    50   2.0 │    3.3   22.7   6.8x
    UGC08550   Sd    57  11 │    53   3.2 │    4.7   29.6   6.3x
     UGCA442   Sm    56   8 │    53   4.9 │    1.9   27.6  14.4x
    UGC01281  Sdm    55  25 │    51   4.2 │    0.6   22.1  36.6x
      DDO168   Im    53  10 │    51   4.3 │    2.8   21.0   7.4x
     NGC3741   Im    50  21 │    47   4.7 │    3.3   25.9   8.0x
      DDO154   Im    47  12 │    43   4.2 │    0.8   23.7  31.2x
      DDO064   Im    46  14 │    40   2.3 │    2.3   17.9   7.7x
    UGC06628   Sm    42   7 │    21   1.8 │    4.0    6.7   1.7x
     UGCA444   Im    37  36 │    29   2.0 │    2.3   14.5   6.2x
    KK98-251   Im    34  15 │    29   3.7 │    0.9    9.2  10.8x
    UGC09992   Im    34   5 │    26   1.6 │    2.4   11.2   4.6x


============================================================
PER TIPO MORFOLOGICO
============================================================
 Tipo Nome    N │ RMSE_CST RMSE_BAR │ Miglior
──────────────────────────────────────────────────
    0   S0    3 │    17.90    82.03 │    4.2x
    1   Sa    3 │    20.39    51.95 │    1.8x
    2  Sab    9 │    24.04    71.96 │    3.1x
    3   Sb   11 │    24.59    59.35 │    3.4x
    4  Sbc   17 │    14.18    53.48 │    3.6x
    5   Sc   14 │    15.42    55.65 │    3.9x
    6  Scd   16 │     8.69    49.75 │    6.1x
    7   Sd   14 │     5.39    43.39 │    6.7x
    8  Sdm    6 │     7.82    40.58 │    5.8x
    9   Sm   19 │     4.02    34.55 │    8.9x
   10   Im   16 │     2.66    24.81 │    7.8x
   11  BCD    1 │     9.39    53.36 │    5.7x

============================================================
PER RANGE DI VELOCITÀ
============================================================
       <50: n=  6, RMSE_CST=   2.3, RMSE_BAR=  12.8, Imp=7.0x
    50-100: n= 43, RMSE_CST=   3.2, RMSE_BAR=  33.1, Imp=8.5x
   100-150: n= 27, RMSE_CST=   9.2, RMSE_BAR=  51.0, Imp=5.8x
   150-200: n= 25, RMSE_CST=  13.8, RMSE_BAR=  53.9, Imp=4.0x
   200-300: n= 26, RMSE_CST=  22.7, RMSE_BAR=  71.9, Imp=3.4x
      >300: n=  2, RMSE_CST=  36.4, RMSE_BAR= 142.9, Imp=3.9x

============================================================
DISTRIBUZIONE MIGLIORAMENTI
============================================================
  Mediana: 5.7x
  Media:   7.2x
  >2x: 120/129 (93%)
  >3x: 108/129 (84%)
  >5x: 72/129 (56%)

============================================================
LEGGI DI SCALA
============================================================
  v_max = 0.092 × v_flat^1.548
  Correlazione r = 0.4536

==========================================================================================
CONCLUSIONE
==========================================================================================

  Il modello CST (barioni + CST stellare + vortice SMBH) 
  migliora la predizione delle curve di rotazione di un
  fattore 3.4x rispetto ai soli barioni, su 129 galassie
  SPARC e 2931 punti dati.
  
  SENZA materia oscura. SENZA parametri aggiuntivi rispetto
  ai 2 del vortice (v_max, r_c), che mostrano una legge di
  scala universale con v_flat.

